refcode,formula,z_prime,r_factor,n_atoms,spacegroup
NEYNOU,C12 H17 B1 N2 O4,1.0,4.49,36,P21/c
GOPJUQ,"C9 H7 N1 O2,C7 H4 N2 O6",2.0,4.5,19,P-1
GIVXOZ,C31 H24 Si1,1.0,4.03,56,P21
MEJNIB,C8 H11 N5 O1,1.0,4.2299999999999995,25,P21/c
BUNCOF,C30 H19 N1 O2,1.0,4.37,52,Pbca
EYUSIC,C14 H12 Br1 N1 O2,1.0,2.91,30,P21/n
JIFRAR,C10 H9 Br1 O2,1.0,3.7,22,P-1
FUXVIF,C20 H23 N2 O3 P1,1.0,2.98,49,Pbca
UJEWUE,C19 H17 N1 O1,1.0,5.08,38,P212121
NIXXEY,C22 H20 O4,1.0,5.3500000000000005,46,P-1
LAYRUA,C15 H20 N2 O3,1.0,3.47,40,P212121
AFAXAH,C26 H22 O2,1.0,7.0,50,Pbca
SAYSUG,C13 H17 N1 O2 S3,1.0,4.59,36,P21/c
DUFDEP,C22 H28 O9,2.0,5.48,59,P21/c
SOQQAR,"2(C19 H18 P1 1+),Br10 Se3 2-",0.5,3.97,38,P-1
QORGAH,C18 H28 Br1 N1,1.0,4.63,48,P21/n
DIKFUZ,C24 H37 N1 O1,1.0,5.86,63,P21/a
ENUDUQ,C23 H24 Cl1 N1 O2,1.0,5.91,51,C2/c
REMTUB,C26 H23 N1 O5,2.0,5.81,55,P-1
BAMGOL10,C18 H22 N2 O4,1.0,4.3,46,P212121
DUVBIF,C11 H8 F5 N1 O1 S2,1.0,4.5,28,P21/c
KONCAR,C12 H12 N6 O3,1.0,6.3,33,P21/n
TURYIQ,C14 H12 Cl1 N1 O1,1.0,2.3800000000000003,29,P212121
RIMGEC,C9 H9 N1 O3,1.0,3.3300000000000005,22,P21/c
YOWPEF,C14 H15 N1 O1,1.0,5.5,31,P21/c
JAHBEA,C18 H12 Cl4,0.5,4.0600000000000005,34,P21/a
QINGAV,C11 H17 O9 P1,1.0,3.36,38,P21
LIZVOH,"C13 H14 N2 O1,2(C8 H5 N1 O2)",1.0,5.510000000000001,30,P21/c
AVAFEK,C23 H18 F1 N3 O1,2.0,5.96,46,P-1
KOFNAX,C15 H19 B1 O6,1.0,5.01,41,I2/a
MIKDAM,C13 H39 P3 Si6,1.0,5.5,61,P21/c
DEKTAS,C12 H14 N6 O4,1.0,3.29,36,P21/c
QEHDOW,C22 H17 N1 O3,1.0,3.35,43,P21
POHSIO,C12 H28 N4 O1 P2 S2,1.0,2.81,49,P-1
BAHLEC,"C5 H12 N1 O2 1+,C4 H3 O4 1-",0.5,3.61,20,Pnma
CATHOU,C17 H21 N3 O3,1.0,5.6000000000000005,44,P212121
KUCLUT,C25 H18 O1,1.0,4.29,44,P21
UBAJIS,"2(C16 H9 O8 1-),C12 H12 N2 2+,C16 H10",0.5,5.68,33,P-1
MCHTEP12,C10 H8 Cl2 O6,1.0,2.9,26,P-1
GETQEB,"2(C5 H6 N1 1+),C6 H18 N2 P2 S4 Si2 2-",1.0,3.35,34,P21/n
HARXAZ,"C9 H16 I1 N2 1+,I1 1-",1.0,2.5,28,P-1
YEJJOM01,C17 H10 S5,1.0,4.24,32,P21/n
DIMXEG,C11 H12 N4 O4,0.5,4.04,31,P2/n
CEDKAB01,C4 H1 N7 O7,1.0,5.18,19,P21/c
RIDRED,C17 H18 N2 O2 S1,1.0,3.74,40,P-1
RUSGUK,C17 H25 N1 O3,2.0,4.62,46,P21
FUBSAA,C25 H24 N2 O1,2.0,4.7,52,P21/n
DUFBAH,C15 H19 N1 O3 S2,1.0,3.1,40,P21
IFUQAC,"C10 H8 N2,2(C3 H3 N1 O2)",0.5,4.63,20,P21/n
MEDLUE06,C4 H9 N1 O2,2.0,3.88,16,P21/n
OCOMIF,C13 H25 N1 O3 Si1,1.0,7.380000000000001,43,P21/a
AWELIY,C17 H20 N2,1.0,2.5300000000000002,39,P21
IVAMOI,C24 H25 N3 O5,1.0,5.57,57,P-1
MOFQOO,C12 H10 O4,1.0,6.29,26,P21/c
EGICAC,C12 H11 N1 O4,1.0,4.2299999999999995,28,P21/c
KEPHIW,C21 H22 O2 S1,1.0,4.6000000000000005,46,P-1
VUBKEL,C23 H20 N2 O1 S1,1.0,2.92,47,P-1
OREVIS,C15 H20 O3,1.0,3.62,38,P21/n
NEVFUP,C19 H17 F2 N1,1.0,3.7600000000000002,39,P212121
VAVXAT,C14 H25 N1 O6 S1,1.0,4.59,47,P212121
KUWNAT,"C15 H11 N3 O2,C6 H6",1.0,6.1,31,P21/c
LGLUAC01,C5 H9 N1 O4,1.0,6.0,19,P212121
DORJUP,C17 H23 Br1 N2 O2 S1,1.0,6.7,46,P21/c
WIPYIF,C19 H19 N3 O2 S1,1.0,3.46,44,C2
HOHTOR,C16 H10 F1 I2 N1 O1,2.0,2.4299999999999997,31,C2
WAHDIU,"C8 H10 N2 O3 S1,2(H2 O1)",1.0,2.5500000000000003,24,P21
ROJJEH,C26 H28 Cl2,1.0,4.04,56,P21/c
OXAYOC,C24 H16 N2,0.5,6.7700000000000005,42,P-1
ZIWQON,C14 H12 N2 O1,1.0,3.49,29,P212121
